CODE,Institute Name,Managing Authority,Latitude,Longitude,Institure Type,Description,Gender,Faculty,Tier
KQ2226,GOVT. COLLEGE FOR WOMEN KORANGI 04,Government,24.8275028,67.1541355,College,https://maps.app.goo.gl/7Z5x4o1Hg9aBEAPCA,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T1
KQ2259,SHAHEED E MILLAT GOVT.DEGREE COLLEGE FOR WOMEN,Government,24.9186511,67.0693529,College,https://maps.app.goo.gl/uBaCCGaGg883AcgN8,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T1
KQ2247,GOVT. DEGREE GIRLS COLLEGE BLOCK 13 GULISTAN E JOHAR,Government,24.9106759,67.1311899,College,https://maps.app.goo.gl/7LbqugpkBgxyRYVp7,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T1
KQ2340,"GOVERNMENT GIRLS DEGREE COLLEGE, BLOCK-N, NORTH NAZIMABAD KARACHI",Government,24.9491357,67.0503954,College,https://maps.app.goo.gl/jVamGjNF7XiotsQ19,Female,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE , COMMERCE",T1
KQ2165,GOVT. GIRLS DEGREE COLLEGE ZAM ZAMA (GIZRI)I,Government,24.8158368,67.0371932,College,https://maps.app.goo.gl/5NukZ749apm71ASr7,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T1
KQ2250,"GOVT.GIRLS DEGREE COLLEGE KORANGI 2,1/2 KARACHI",Government,24.8211625,67.1475551,College,https://maps.app.goo.gl/e8aha8k6MkvvhDis8,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T1
KQ2255,GOVT. DEGREE GIRLS COLLEGE SHAIKH ZAID CENTER,Government,24.9369225,67.1310196,College,https://maps.app.goo.gl/wPFyxKkKQaCsmP2q7,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T1
KQ2162,"GOVT. INTER GIRLS SCIENCE ARTS /COMMERCE COLLEGE 15/C, ORANGI TOWN",Government,24.9479121,66.9969309,College,https://maps.app.goo.gl/ycZskomonLNmosZF8,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T1
KQ2238,GOVT. DEGREE GIRLS COLLEGE BLOCK 12 GULISTAN-E- JAUHAR SAFOORA GOTH,Government,24.9166887,67.1311151,College,https://maps.app.goo.gl/EGf6NVcNk2qbxgHX7,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T1
KQ2262,GOVT. DEGREE GIRLS COLLEGE SEC. 11-I NORTH KARACHI,Government,24.9773125,67.0658626,College,https://maps.app.goo.gl/3TGKGpKFvs9mBALy9,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T1
KQ2224,S.M.B FATIMA JINNAH GOVT. GIRLS DEGREE COLLEGE,Government,24.8753417,67.0172239,College,https://maps.app.goo.gl/qwUXnAREiYxQBVzW8,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES , HOME ECONOMICS",T1
KQ2239,GOVT. DEGREE GIRLS COLLEGE BUFFER ZONE SECTOR 15-A,Government,24.9631883,67.0715649,College,https://maps.app.goo.gl/z8Gd89oZhdcBcHTN9,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES , HOME ECONOMICS , COMPUTER SCIENCE , COMMERCE",T1
KQ2276,SHAHEED MOHTARMA BENAZIR BHUTTO GOVT. DEGREE GIRLS COLLEGE LYARI,Government,24.8448689,67.0704137,College,https://maps.app.goo.gl/FJFMTJfcUv9Gyfqw8,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T1
KQ2246,GOVT. GIRLS COLLEGE ORANGI TOWN 7/C,Government,24.9465348,67.0084392,College,https://maps.app.goo.gl/cbfTitwEPEfd1APn7,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T1
KQ2145,GOVT. DEGREE SCIENCE AND COMMERCE COLLEGE FOR WOMEN F.B AREA BLOCK-16 KARACHI,Government,24.9370227,67.0776246,College,https://maps.app.goo.gl/k34RwsZnsjwdzYreA,Female,"PRE–MEDICAL , PRE–ENGINEERING, COMMERCE",T1
KQ2192,GOVT. DEGREE GIRLS COLLEGE AL NOOR,Government,24.947883,67.0712973,College,https://maps.app.goo.gl/iqAQynKUxfAcSVgu9,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T1
KQ2244,GOVT. DEGREE GIRLS COLLEGE GREEN BELT MEHMOODABAD,Government,24.8548408,67.0690201,College,https://maps.app.goo.gl/6JnxiYDVozfBahxc6,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T1
KQ2263,GOVT.GIRLS ARTS AND COMMERCE COLLEGE C-1 AREA,Government,24.8949574,67.1882599,College,https://maps.app.goo.gl/aQigTJzqBX9zvYZF7,Female,"PRE–MEDICAL, HUMANITIES, COMMERCE",T1
KQ2251,GOVT GIRLS COLLEGE LANDHI -22 37/C,Government,24.8405625,67.1922376,College,https://maps.app.goo.gl/7cDoBWdLWVsQ7jRRA,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T1
KQ2236,GOVERNMENT COLLEGE FOR WOMEN SHAHRAH-E- LIAQUAT (CAMPUS-II) AT PUNJABI CLUB,Government,24.858272,67.0180466,College,https://maps.app.goo.gl/35t4ap8kMxFYgWf69,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T1
KQ2305,"GOVT. GIRLS SCIENCE AND ARTS DEGREE COLLEGE, BATH ISLAND (HIJRAT COLONY), KARACHI",Government,24.8395215,67.0210163,College,https://maps.app.goo.gl/AURE8N4XKQYquoF3A,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , ",T1
KQ2233,SHAHEED MOHTARMA BENAZIR BHUTTO GOVT. DEGREE GIRLS COLLEGE AZAM BASTI,Government,24.8448689,67.0704137,College,https://maps.app.goo.gl/FJFMTJfcUv9Gyfqw8,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T1
KQ2210,GOVT GIRLS COLLEGE PIB COLONY,Government,24.8938124,67.0464416,College,https://maps.app.goo.gl/7KTs1U1yGFptC7fe6,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T1
KQ2159,GOVT. KARACHI COLLEGE FOR WOMEN,Government,24.858272,67.0154717,College,https://maps.app.goo.gl/35t4ap8kMxFYgWf69,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T1
KQ2227,GOvt.DEGREE GIRLS COLLEGE BALDIA TOWN,Government,24.9220625,66.9632376,College,https://maps.app.goo.gl/Jnzf735eMYjC2AxaA,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T1
KQ2215,ABDULLAH GOVT. COLLEGE FOR WOMEN,Government,24.929441,67.0234254,College,https://maps.app.goo.gl/BtCSQbaPgxc3scN78,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T1
KQ2211,GOVT COLLEGE FOR WOMEN SAUDABAD,Government,24.8998078,67.197746,College,https://maps.app.goo.gl/92XYENVX64KW77Yx8,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES , HOME ECONOMICS , COMPUTER SCIENCE , COMMERCE",T1
KQ2280,SHAHEED FLYING OFFICER MARIUM MUKHTIAR GOVERNMENT GIRLS DEGREE COLLEGE LIAQUATABAD KARACHI IN PREMISES OF APWA SCHOOL MARYUM MUKHTIAR GOVT. DEGREE GIRLS COLLEGE LIAQUATABAD,Government,24.9017467,67.0419696,College,https://maps.app.goo.gl/P7tDbWAhdq9jceba9,Female,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE ",T1
KQ2273,BIBI ASIFA GOVT. DEGREE GIRLS COLLEGE,Government,24.829219,67.2285906,College,https://maps.app.goo.gl/niw45DC7PfpaLpc36,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T1
KQ2169,GOVT. DEGREE GIRLS COLLEGE SECTOR 11-B NORTH KARACHI,Government,24.9783139,67.0543359,College,https://maps.app.goo.gl/okEXDfNZhFgfDD8RA,Female,"PRE–MEDICAL , PRE–ENGINEERING, COMMERCE",T1
KQ2302,GOVT. DEGREE GIRLS COLLEGE SHARAFI GOTH KARACHI,Government,24.8530698,67.1629174,College,https://maps.app.goo.gl/RvTZrzPQZKGRaJUH9,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T2
KQ2179,LIAQUAT GOVT. GIRLS COLLEGE MALIR MORNING,Government,24.8925746,67.1862201,College,https://maps.app.goo.gl/87fejqYNubSh98Bd8,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T2
KQ2234,GOVT. DEGREE GIRLS COLLEGE QASBA COLONY,Government,24.9426914,67.0247394,College,https://maps.app.goo.gl/PkuLKbJ3XFkr6A1Z7,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T2
KQ2223,RIAZ GOVT GIRLS COLLEGE KARACHI,Government,24.9082219,67.0476175,College,https://maps.app.goo.gl/g6pYWAFLJVQgjRvLA,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T2
KQ2245,GOVT. DEGREE GIRLS COLLEGE METROVILLE SITE,Government,24.9187687,66.9947844,College,https://maps.app.goo.gl/ZiVnF9ZH2ZmPY65q7,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T2
KQ2237,GOVT. DEGREE GIRLS COLLEGE SURJANI TOWN KARACHI,Government,25.040071,67.0576326,College,https://maps.app.goo.gl/LE1LJ1fDs1NDKMr18,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T2
KQ2269,GOVT DEGREE GIRLS SCIENCE COLLEGE NO 5 SHAH FAISAL COLONY,Government,24.8750199,67.1132979,College,https://maps.app.goo.gl/MST9BCkrAn3ugCYS6,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T2
KQ2271,GOVT. DEGREE GIRLS COLLEGE IBRAHIM HYDRI,Government,24.7925625,67.1357376,College,https://maps.app.goo.gl/rMFj4VzY3y1NqtTV7,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T2
KQ2277,GOVT. DEGREE GIRLS COLLEGE GULZAR E HIJRI SCHEME - 33,Government,24.9427279,67.0959057,College,https://maps.app.goo.gl/n3ngFTiBEtj5zqDz6,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES , HOME ECONOMICS , COMPUTER SCIENCE , COMMERCE",T2
KQ2158,APWA GOVT.COLLEGE FOR WOMEN,Government,24.9023221,67.0366043,College,https://maps.app.goo.gl/p5WMa2SgutjSrpKRA,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES , HOME ECONOMICS , COMPUTER SCIENCE , COMMERCE",T2
KQ2264,"GOVT. DEGREE GIRLS COLLEGE, LINES AREA",Government,24.8641705,67.0327367,College,https://maps.app.goo.gl/P9XgMvukxvmfan3a9,Female,"PRE–MEDICAL , PRE–ENGINEERING, COMPUTER SCIENCE ",T2
KQ2341,"GOVERNMENT GIRLS DEGREE COLLEGE, GULSHAN-E- HADEED, KARACHI",Government,24.8707259,67.3556097,College,https://maps.app.goo.gl/TfYNHshxuPY7MdtUA,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T2
KQ2279,"GOVT. GIRLS DEGREE COLLEGE SHAHNAWAZ SHAR GOTH, GULSHAN E IQBAL, KARACHI",Government,24.957354,67.1370978,College,https://maps.app.goo.gl/SnstnMFQuPuYRT8V7,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T2
KQ2167,ALLAMA IQBAL GOVT GIRLS COLLEGE,Government,24.8801875,67.1499375,College,https://maps.app.goo.gl/wTCN8p38sGctXR3C6,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T2
KQ2229,GOVT. DEGREE GIRLS COLLEGE SECTOR 11-1/2,Government,24.9577598,66.976871,College,https://maps.app.goo.gl/yEnQyNXJ3kX8WUd36,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T2
KQ2240,JAN MOHAMMAD BROHI GOVT. DEGREE GIRLS COLLEGE,Government,25.0108614,67.1262378,College,https://maps.app.goo.gl/C4XXcxiB5VY6Thyu7,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T3 and Below
KQ2214,GOVT INTER GIRLS COLLEGE LYARI,Government,24.8592069,66.9931091,College,https://maps.app.goo.gl/8TYEz2KfgsuALbav5,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T3 and Below
KQ2243,"GOVT. DEGREE GIRLS COLLEGE, PAK COLONY ASIFABAD,WEST, KARACHI",Government,24.8980186,67.0111271,College,https://maps.app.goo.gl/rMqRRh47PLtEpuJYA,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES",T3 and Below
KQ2268,GOVERNMENT DEGREE GIRLS COLLEGE BLOCK K,Government,24.951318,67.049857,College,https://maps.app.goo.gl/KeWuQ9rNYgzKZtR8A,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMMERCE",T3 and Below
KQ2213,GOVT COLLEGE FOR WOMEN 11-F NEW KARACHI,Government,24.9804375,67.0768626,College,https://maps.app.goo.gl/6DNzynsgJE2y5gWEA,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES, COMPUTER SCIENCE , COMMERCE",T3 and Below
KQ2303,"GOVERNMENT DEGREE COLLEGE KAMAL KHAN JOKHIO, GADAP TOWN, KARACHI",Government,24.9946732,67.1316769,College,https://maps.app.goo.gl/tJijW88vJdak154A9,Female,"PRE–MEDICAL, HUMANITIES",T3 and Below
KQ2239,GOVT. DEGREE GIRLS COLLEGE BUFFER ZONE SECTOR 15- A,Government,24.9586965,67.0622408,College,https://maps.app.goo.gl/3w6GFGgUkdMUodFo7,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES , HOME ECONOMICS , COMPUTER SCIENCE , COMMERCE",T1
KQ2232,DUKHTAR E MASHRIQ GOVT. DEGREE GIRLS COLLEGE,Government,24.8849155,67.0466692,College,https://maps.app.goo.gl/6aK196nHF6CAyG8o8,Female,"PRE–ENGINEERING , HUMANITIES , HOME ECONOMICS, COMMERCE",T3 and Below
KQ2243,"GOVT. DEGREE GIRLS COLLEGE, PAK COLONY ASIFABAD, WEST, KARACHI",Government,24.8980186,67.0111271,College,https://maps.app.goo.gl/y26tHDojTSEwiUyd8,Female,"PRE–MEDICAL , PRE–ENGINEERING , HUMANITIES",T3 and Below
KQ2190,"LIAQUAT GOVT. DEGREE BOYS COLLEGE NO.2, (EVENING) MALIR KARACHI",Government,24.8926978,67.1863427,College,https://maps.app.goo.gl/hicYinngezFPVsU2A,Male,"HUMANITIES, COMPUTER SCIENCE , COMMERCE",T1
KQ2171,"GOVT, JAMIA MILLIA DEGREE COLLEGE ( EVENING)",Government,24.8727089,67.1740713,College,https://maps.app.goo.gl/cSvXQvt33RrDR3AF7,Male,"COMPUTER SCIENCE , COMMERCE",T2
KQ2147,"GOVT. COLLEGE OF PHYSICAL EDUCATION, KARACHI",Government,24.937328,67.1311268,College,https://maps.app.goo.gl/BKgXAE2rSpdwUGwA7,CO-Education,COMPUTER SCIENCE,T3 and Below
KQ2152,PREMIER GOVT COLLEGE ( MORNING),Government,24.9359257,67.0484462,College,https://maps.app.goo.gl/vTD7UwkBUenGTgvo8,Male,COMMERCE,T2
KQ2186,S.M. GOVT ARTS AND COMMERCE COLLEGE EVENING,Government,24.8536917,67.0135421,College,https://maps.app.goo.gl/6NFj6PGcnYbbuehR9,Male,"HUMANITIES, COMMERCE",T2
KQ2163,ALLAMA IQBAL GOVT DEGREE BOYS ARTS AND COMMERCE COLLEGE NO.02,Government,24.9059582,67.1859207,College,https://maps.app.goo.gl/HNH7Lx3wPFxH7cBw7,Male,"HUMANITIES, COMMERCE",T2
KQ2153,QUAID E MILLAT GOVT. DEGREE COLLEGE EVENING,Government,24.9000658,67.0526211,College,https://maps.app.goo.gl/vcgrpGko9BBaz57a6,Male,"HUMANITIES, COMMERCE",T2
KQ2182,S.M. GOVT. ARTS AND COMMERCE COLLEGE MORNING,Government,24.8536917,67.0135421,College,https://maps.app.goo.gl/6NFj6PGcnYbbuehR9,Male,"HUMANITIES, COMMERCE",T2
KQ2206,"GOVT. SUPERIOR COMMERCE COLLEGE, EVENING",Government,24.8843406,67.1452558,College,https://maps.app.goo.gl/CkTNnwVS7NsZYR6ZA,Male,COMMERCE,T2
